Geo Point;Geo Shape;site;annee_installation;zone_emission;disponibilite;adresse;commune
43.6204250015,1.43461666919;"{""type"": ""MultiPoint"", ""coordinates"": [[1.434616669193957, 43.620425001537534]]}";Bibliothèque des Minimes;2016.0;intérieur bâtiment;24h/24h (sans garantie de service);place marché aux cochons;TOULOUSE
43.5797444402,1.44167500218;"{""type"": ""MultiPoint"", ""coordinates"": [[1.441675002179815, 43.57974444022888]]}";Empalot;2016.0;extérieur;24h/24h (avec garantie de service);19 rue de Cannes;TOULOUSE
43.5811027815,1.38765000263;"{""type"": ""MultiPoint"", ""coordinates"": [[1.387650002628796, 43.58110278146783]]}";Mairie Pradettes;2015.0;intérieur bâtiment;24h/24h (sans garantie de service);2 Passage Julien FORGUES;TOULOUSE
43.5741527801,1.4532027819;"{""type"": ""MultiPoint"", ""coordinates"": [[1.453202781895358, 43.57415278010774]]}";Théatre Jules Juilen;2015.0;intérieur bâtiment;24h/24h (sans garantie de service);6 Avenue des Ecoles Jules J;TOULOUSE
43.602097222,1.46608055919;"{""type"": ""MultiPoint"", ""coordinates"": [[1.466080559193018, 43.60209722198022]]}";Restaurant Social Provid;2016.0;intérieur bâtiment;24h/24h (sans garantie de service);place Pinel;TOULOUSE
43.5774790018,1.44418000188;"{""type"": ""MultiPoint"", ""coordinates"": [[1.444180001877211, 43.577479001796014]]}";Maison des Associations;2016.0;intérieur bâtiment;24h/24h (sans garantie de service);81 rue St Roch;TOULOUSE
43.6324090025,1.4517769977;"{""type"": ""MultiPoint"", ""coordinates"": [[1.451776997703265, 43.63240900252902]]}";Les jardins du Muséum 1;2017.0;intérieur et extér;24h/24h (sans garantie de service);Avenue Maurice Bourges-Maun;TOULOUSE
43.6040509976,1.44796000305;"{""type"": ""MultiPoint"", ""coordinates"": [[1.447960003048746, 43.60405099763568]]}";MDC Centre - Mériel;2019.0;intérieur bâtiment;24h/24h (sans garantie de service);5 Rue Paul Meriel;TOULOUSE
43.6185159981,1.39799899741;"{""type"": ""MultiPoint"", ""coordinates"": [[1.397998997406843, 43.618515998110055]]}";Mairie de quartier Ancel;2019.0;intérieur bâtiment;24h/24h (sans garantie de service);11 alée du Vivarais;TOULOUSE
43.603622221,1.43521666956;"{""type"": ""MultiPoint"", ""coordinates"": [[1.435216669562858, 43.603622221014575]]}";Saint-Pierre 1;2015.0;extérieur;24h/24h (avec garantie de service);PL SAINT PIERRE;TOULOUSE
43.6063499991,1.44578889054;"{""type"": ""MultiPoint"", ""coordinates"": [[1.4457888905353, 43.60634999913964]]}";Alsace 4;2015.0;extérieur;24h/24h (avec garantie de service);42 RUE D ALSACE LORRAINE;TOULOUSE
43.5953529979,1.43613399815;"{""type"": ""MultiPoint"", ""coordinates"": [[1.436133998149293, 43.5953529979405]]}";Cours Dillon 2;2016.0;extérieur;24h/24h (avec garantie de service);cours dillon;TOULOUSE
43.611269439,1.4387638926;"{""type"": ""MultiPoint"", ""coordinates"": [[1.438763892595708, 43.61126943901786]]}";Arnaud Bernard;2016.0;extérieur;24h/24h (avec garantie de service);place arnaud Bernard;TOULOUSE
43.5938361075,1.44929722368;"{""type"": ""MultiPoint"", ""coordinates"": [[1.449297223681973, 43.59383610753782]]}";Museum;2015.0;intérieur bâtiment;24h/24h (sans garantie de service);35 allées Jules Guesdes;TOULOUSE
43.6077416696,1.44387222303;"{""type"": ""MultiPoint"", ""coordinates"": [[1.443872223033171, 43.60774166956278]]}";Bibliothèque Perigord;2016.0;intérieur bâtiment;24h/24h (sans garantie de service);18 rue du Périgord;TOULOUSE
43.6200277786,1.47010556047;"{""type"": ""MultiPoint"", ""coordinates"": [[1.470105560472039, 43.62002777860817]]}";MDC Roseraie;2015.0;intérieur bâtiment;24h/24h (sans garantie de service);8 bis avenue du parc;TOULOUSE
43.585663892,1.46607499825;"{""type"": ""MultiPoint"", ""coordinates"": [[1.466074998248934, 43.58566389200731]]}";St Exupéry;2015.0;intérieur bâtiment;24h/24h (sans garantie de service);63 bis avenue de Saint Exup;TOULOUSE
43.6112111088,1.45604166795;"{""type"": ""MultiPoint"", ""coordinates"": [[1.456041667946276, 43.611211108779486]]}";Toulouse Métropole - Mar;2014.0;intérieur bâtiment;24h/24h (sans garantie de service);6 Rue René Leduc;TOULOUSE
43.6035800018,1.45442200007;"{""type"": ""MultiPoint"", ""coordinates"": [[1.454422000066534, 43.60358000177601]]}";Saint Aubin;2017.0;extérieur;24h/24h (avec garantie de service);1 bis boulevard J, Michelet;TOULOUSE
43.612386998,1.43530199813;"{""type"": ""MultiPoint"", ""coordinates"": [[1.435301998134417, 43.612386998005825]]}";Palais des sports;2017.0;intérieur bâtiment;24h/24h (sans garantie de service);Rue du canon d'Arcole;TOULOUSE
43.6032880009,1.45314400066;"{""type"": ""MultiPoint"", ""coordinates"": [[1.453144000656462, 43.603288000936]]}";Espace diversités et laï;2014.0;intérieur bâtiment;24h/24h (sans garantie de service);38, rue d'Aubuisson;TOULOUSE
43.6015570023,1.43836100048;"{""type"": ""MultiPoint"", ""coordinates"": [[1.43836100047662, 43.60155700229426]]}";Daurade 2;2017.0;extérieur;24h/24h (avec garantie de service);Promenade Henri Martin;TOULOUSE
43.5648090005,1.41078499954;"{""type"": ""MultiPoint"", ""coordinates"": [[1.410784999538354, 43.56480900053875]]}";Mairie Lafourguette;2018.0;intérieur bâtiment;24h/24h (sans garantie de service);1 Place des GLIERES;TOULOUSE
43.6096769984,1.38001000243;"{""type"": ""MultiPoint"", ""coordinates"": [[1.380010002426659, 43.60967699838395]]}";Mairie St Martin du Touc;2018.0;intérieur bâtiment;24h/24h (sans garantie de service);2 Rue Sentenac;TOULOUSE
43.623782,1.4385320003;"{""type"": ""MultiPoint"", ""coordinates"": [[1.438532000299613, 43.6237819999592]]}";Théatre des Mazades;2018.0;intérieur bâtiment;24h/24h (sans garantie de service);10 Avenue des Mazades;TOULOUSE
43.5840859993,1.43452699825;"{""type"": ""MultiPoint"", ""coordinates"": [[1.434526998250383, 43.58408599934401]]}";Stadium;2019.0;intérieur et extér;24h/24h (sans garantie de service);1 allée Gabriel Biénès;TOULOUSE
43.6072540006,1.44208499666;"{""type"": ""MultiPoint"", ""coordinates"": [[1.442084996655507, 43.60725400055813]]}";Taur;2019.0;intérieur bâtiment;24h/24h (sans garantie de service);71 rue du Taur;TOULOUSE
